mode,order,stop,rr,lo,n_tr,sr_tr,net_tr,n_te,sr_te,net_te,hit_te
sweep,3,2.0,1.5,True,1367,-1.1123160167574722,-48.65458157181076,542,0.17175404064526703,4.4276419368140125,46.125461254612546
sweep,3,2.0,1.5,False,1918,-0.8960434343774891,-48.00058986819815,818,-0.6074120972240554,-24.780045414622947,43.39853300733496
sweep,3,2.0,2.0,True,1330,-0.8501524344826201,-42.39803942136887,525,0.35772662792518295,12.209997104164799,44.19047619047619
sweep,3,2.0,2.0,False,1811,-0.7736971396410047,-44.80918851015488,777,-0.37279311358341544,-17.680289346278272,40.66924066924067
sweep,3,2.0,3.0,True,1302,-0.9037670973754441,-45.26808012095397,513,0.6194486077140597,25.606867302909336,42.49512670565302
sweep,3,2.0,3.0,False,1721,-0.6194796003398652,-39.38051096196878,736,-0.47892923753707317,-22.04501904166564,38.04347826086957
sweep,5,1.0,1.0,True,1445,-2.1624467903496574,-46.25410639515989,591,-1.3769843426286157,-21.455901045801966,49.91539763113367
sweep,5,1.0,1.0,False,2735,-2.782348954269409,-65.35021615265856,1154,-2.223156980396085,-39.11530815826622,48.87348353552859
sweep,5,1.0,1.5,True,1394,-1.5622680637850235,-41.39448095289637,568,-0.41729652331235245,-9.011509463205485,42.95774647887324
sweep,5,1.0,1.5,False,2549,-1.8563598043822465,-56.59988553379445,1058,-1.072887538022188,-24.981773778280598,40.737240075614366
sweep,5,1.0,2.0,True,1365,-1.1801413964029404,-36.54006727680908,550,-0.5293718575300114,-12.316213587555154,35.090909090909086
sweep,5,1.0,2.0,False,2373,-1.3274509337187579,-48.3132852662841,972,-1.1232868614719358,-27.965246401018092,33.641975308641975
sweep,5,1.0,3.0,True,1333,-0.9770880747101682,-35.429791331730684,534,-0.6612074953471176,-16.59374447943219,28.08988764044944
sweep,5,1.0,3.0,False,2128,-0.9436236201497982,-41.45802243659349,872,-1.2153084793535711,-31.916558298915405,26.605504587155966
sweep,5,1.5,1.0,True,1235,-1.180074769833068,-37.18681942939003,519,-0.49896224457419414,-12.341202255639743,52.215799614643544
sweep,5,1.5,1.0,False,2228,-1.3279928049556504,-49.6148438064923,948,-1.3782177665183444,-34.719682496372315,48.9451476793249
sweep,5,1.5,1.5,True,1187,-1.0429879838609624,-37.68906489476355,485,-0.657408302351835,-17.68798813881976,41.03092783505154
sweep,5,1.5,1.5,False,1978,-0.8295915735280474,-38.59261895590331,833,-1.293269518553687,-36.07362784621382,39.13565426170468
sweep,5,1.5,2.0,True,1171,-0.7393094417299508,-31.3876270351562,473,-0.7659476061841932,-21.254343421637557,36.78646934460888
sweep,5,1.5,2.0,False,1825,-0.7032924559426901,-36.20642016908424,767,-1.4965232554438108,-41.18902543717356,34.289439374185136
sweep,5,1.5,3.0,True,1153,-0.551328786189316,-27.10263928877218,465,-0.7524497523444332,-21.91564705591614,33.763440860215056
sweep,5,1.5,3.0,False,1697,-0.6492264443969574,-35.931640522661255,719,-1.0240905132171205,-32.605916158563815,31.98887343532684
sweep,5,2.0,1.0,True,1105,-0.7918396684990834,-31.685337113344588,447,-0.47827082126284637,-14.41023144502212,51.45413870246085
sweep,5,2.0,1.0,False,1872,-1.0009789794109898,-45.93991534812471,783,-1.4945381742657204,-42.49535141829023,48.148148148148145
sweep,5,2.0,1.5,True,1072,-0.811252716163369,-35.53406744349806,430,-0.38664656574534667,-13.08855489949977,44.651162790697676
sweep,5,2.0,1.5,False,1661,-0.7951458449807848,-41.64553179128575,704,-1.241312536196633,-38.76845218019015,41.19318181818182
sweep,5,2.0,2.0,True,1063,-0.5980757173420068,-29.734641291404913,425,-0.48817010847566195,-16.411045016974214,41.88235294117647
sweep,5,2.0,2.0,False,1568,-0.8355221999692255,-44.20319188156386,672,-1.034650391665638,-34.981799021802885,38.839285714285715
sweep,5,2.0,3.0,True,1048,-0.5818090824949836,-30.80931989909797,418,-0.4192962039052624,-14.963151917656702,40.66985645933015
sweep,5,2.0,3.0,False,1487,-0.6458986906840982,-38.2412108820357,648,-1.1948521505973027,-39.43345126878697,36.7283950617284
bos,3,1.0,1.0,True,3133,-2.731844567796334,-67.26301815661756,1496,-1.7758641551716936,-33.84618832346979,51.270053475935825
bos,3,1.0,1.0,False,5895,-4.096692522359026,-90.57827343089,2542,-2.6725863576136906,-60.018757787213666,49.4492525570417
bos,3,1.0,1.5,True,2646,-1.8695197308675968,-57.830003832598415,1258,-0.6321916416408532,-15.946136847571395,43.1637519872814
bos,3,1.0,1.5,False,4947,-2.8858422023545316,-84.39691774705368,2146,-1.4649013101609032,-43.81924915833807,40.77353215284249
bos,3,1.0,2.0,True,2358,-1.4724357587580335,-52.581157876374135,1114,-0.004682261434346849,-1.3503281558232914,37.52244165170557
bos,3,1.0,2.0,False,4371,-2.5095965531187363,-82.51614312128963,1886,-0.6275351266935159,-24.545596427740662,35.73700954400849
bos,3,1.0,3.0,True,1976,-1.2096349340439687,-48.800796899387485,914,0.5186636180359704,16.41868971224487,30.962800875273523
bos,3,1.0,3.0,False,3652,-1.73768940115247,-73.44676586124723,1561,0.0033612185099529874,-2.932981466862543,29.212043561819346
bos,3,1.5,1.0,True,2388,-1.4685824694556708,-54.52384286024531,1115,0.12770225485698347,2.499463019452719,53.99103139013452
bos,3,1.5,1.0,False,4311,-2.1944659102130175,-80.2503383357778,1861,-0.9682654535734696,-35.29073885790113,50.18807092960774
bos,3,1.5,1.5,True,1972,-1.0139805528368322,-45.190183066819536,900,0.9176636899446502,33.058468594353485,46.55555555555556
bos,3,1.5,1.5,False,3523,-1.7715230321124646,-75.81224005262735,1500,0.14426188856240513,3.56812625526932,43.4
bos,3,1.5,2.0,True,1733,-0.958426806354516,-44.88501572080733,775,0.9590207382709164,36.87451209409332,41.677419354838705
bos,3,1.5,2.0,False,3095,-1.4944042663276067,-71.58855885321837,1311,0.31073224755606327,12.712614527144737,38.59649122807017
bos,3,1.5,3.0,True,1520,-0.49560200002165194,-28.522861329171263,675,1.3164991355651514,58.72250549235082,38.51851851851852
bos,3,1.5,3.0,False,2689,-0.8819220937284967,-54.298534519743306,1146,0.39343258090817174,17.98886682608031,34.031413612565444
