open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move
2025-12-11 07:39:00,2025-12-11 07:39:00,XAUUSD,Sell,0.1,4210.99,4198.59,4208.59,4207.16,143.0,14.3,16s,0.24%,0.24,16.0,2.399999999999636,10.0,1.430000000000291
2025-12-11 09:36:00,2025-12-11 09:37:00,XAUUSD,Buy,0.1,4213.04,4225.44,4215.44,4216.4,96.0,9.6,1m,0.16%,0.16,60.0,2.399999999999636,10.0,0.9600000000000364
2025-12-11 10:40:00,2025-12-11 10:40:00,XAUUSD,Buy,0.1,4216.16,4228.56,4218.56,4218.48,-8.0,-0.8,9s,-0.01%,-0.01,9.0,2.4000000000005457,10.0,-0.08000000000083674
2025-12-11 11:47:00,2025-12-11 11:48:00,XAUUSD,Buy,0.1,4217.21,4229.61,4219.61,4221.14,153.0,15.3,47s,0.25%,0.25,47.0,2.399999999999636,10.0,1.5300000000006548
2025-12-11 13:37:00,2025-12-11 13:38:00,XAUUSD,Sell,0.1,4214.3,4201.9,4211.9,4211.72,18.0,1.8,42s,0.03%,0.03,42.0,2.4000000000005457,10.0,0.17999999999938154
2025-12-11 14:01:00,2025-12-11 14:03:00,XAUUSD,Sell,0.1,4212.91,4200.51,4210.35,4209.09,126.0,12.6,1m,0.21%,0.21,60.0,2.5599999999994907,9.840000000000146,1.2600000000002183
2025-12-11 15:16:00,2025-12-11 15:16:00,XAUUSD,Sell,0.1,4211.27,4198.87,4208.87,4205.58,329.0,32.9,26s,0.54%,0.54,26.0,2.4000000000005457,10.0,3.2899999999999636
2025-12-11 15:32:00,2025-12-11 15:33:00,XAUUSD,Sell,0.1,4212.91,4200.51,4210.51,4209.67,84.0,8.4,20s,0.14%,0.14,20.0,2.399999999999636,10.0,0.8400000000001455
2025-12-11 16:08:00,2025-12-11 16:08:00,XAUUSD,Buy,0.1,4223.52,4235.92,4225.92,4225.89,-3.0,-0.3,8s,0.00%,0.0,8.0,2.399999999999636,10.0,-0.02999999999974534
2025-12-11 17:33:00,2025-12-11 17:33:00,XAUUSD,Buy,0.1,4242.06,4254.46,4244.46,4245.17,71.0,7.1,19s,0.12%,0.12,19.0,2.399999999999636,10.0,0.7100000000000364
2025-12-12 06:13:00,2025-12-12 06:14:00,XAUUSD,Sell,0.1,4271.11,4258.71,4268.71,4268.41,30.0,3.0,35s,0.05%,0.05,35.0,2.399999999999636,10.0,0.3000000000001819
2025-12-12 07:30:00,2025-12-12 07:31:00,XAUUSD,Buy,0.1,4274.43,4286.83,4276.83,4277.02,19.0,1.9,22s,0.03%,0.03,22.0,2.399999999999636,10.0,0.19000000000050932
2025-12-15 06:10:00,2025-12-15 06:10:00,XAUUSD,Buy,0.1,4327.27,4339.67,4329.67,4329.54,-13.0,-1.3,15s,-0.02%,-0.02,15.0,2.399999999999636,10.0,-0.13000000000010914
2025-12-15 07:28:00,2025-12-15 07:28:00,XAUUSD,Buy,0.1,4327.68,4340.08,4330.08,4330.82,74.0,7.4,15s,0.12%,0.12,15.0,2.399999999999636,10.0,0.7399999999997817
2025-12-15 10:48:00,2025-12-15 10:49:00,XAUUSD,Buy,0.1,4344.98,4357.38,4347.38,4347.65,27.0,2.7,40s,0.04%,0.04,40.0,2.4000000000005457,10.0,0.26999999999952706
2025-12-15 15:11:00,2025-12-15 15:12:00,XAUUSD,Sell,0.1,4337.74,4325.34,4335.33,4333.95,138.0,13.8,48s,0.22%,0.22,48.0,2.4099999999998545,9.989999999999782,1.3800000000001091
